# ----------------------------------------,,,,,,,,,
# All Web Site Data,,,,,,,,,
# Location,,,,,,,,,
# 20180909-20180909,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
City,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Durham,159,73,203,50.25%,2.39,0:03:44,0.00%,0,$0.00 
Charlotte,43,16,66,50.00%,2.11,0:03:25,0.00%,0,$0.00 
Raleigh,35,10,51,64.71%,1.67,0:02:15,0.00%,0,$0.00 
Atlanta,10,3,12,66.67%,1.92,0:05:29,0.00%,0,$0.00 
Franklin,10,4,11,18.18%,1.91,0:03:00,0.00%,0,$0.00 
Cary,6,4,7,71.43%,1.86,0:02:16,0.00%,0,$0.00 
(not set),5,3,5,60.00%,1.6,0:02:48,0.00%,0,$0.00 
Chapel Hill,4,0,8,50.00%,2.88,0:03:32,0.00%,0,$0.00 
Sylva,4,2,4,50.00%,1.5,0:01:02,0.00%,0,$0.00 
Myrtle Beach,4,2,4,50.00%,1.5,0:00:21,0.00%,0,$0.00 
Norfolk,4,2,6,16.67%,3.17,0:03:26,0.00%,0,$0.00 
Clayton,3,2,3,0.00%,3.67,0:05:41,0.00%,0,$0.00 
Greensboro,3,2,3,33.33%,2.33,0:07:12,0.00%,0,$0.00 
Hillsborough,3,2,4,50.00%,1.75,0:00:45,0.00%,0,$0.00 
Mebane,3,0,3,0.00%,2.33,0:00:53,0.00%,0,$0.00 
Winston-Salem,3,0,6,66.67%,2.33,0:00:53,0.00%,0,$0.00 
New York,3,2,3,33.33%,2,0:05:04,0.00%,0,$0.00 
Huntsville,2,2,4,25.00%,3,0:05:07,0.00%,0,$0.00 
Washington,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Efland,2,2,2,50.00%,2,0:02:28,0.00%,0,$0.00 
Fayetteville,2,2,2,50.00%,2.5,0:11:14,0.00%,0,$0.00 
Marion,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Rocky Mount,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Wake Forest,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Cincinnati,2,1,2,50.00%,1.5,0:00:05,0.00%,0,$0.00 
Providence,2,1,2,50.00%,3,0:03:59,0.00%,0,$0.00 
Saint-Brieuc,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Birmingham,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Corona,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Ontario,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 
Clayton,1,0,2,0.00%,6.5,0:06:47,0.00%,0,$0.00 
Miami,1,1,1,0.00%,2,0:03:05,0.00%,0,$0.00 
Tallahassee,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Chicago,1,1,1,0.00%,2,0:00:36,0.00%,0,$0.00 
Schiller Park,1,1,2,50.00%,2,0:00:22,0.00%,0,$0.00 
Hyattsville,1,0,1,0.00%,2,0:00:10,0.00%,0,$0.00 
Black Mountain,1,0,4,50.00%,2.5,0:01:12,0.00%,0,$0.00 
Burlington,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Burnsville,1,0,1,0.00%,2,0:00:08,0.00%,0,$0.00 
Cashiers,1,0,5,80.00%,1.2,0:00:05,0.00%,0,$0.00 
Concord,1,1,1,0.00%,3,0:01:43,0.00%,0,$0.00 
Cornelius,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Creedmoor,1,0,3,33.33%,3,0:07:37,0.00%,0,$0.00 
Henderson,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Hickory,1,0,1,0.00%,2,0:28:37,0.00%,0,$0.00 
Jacksonville,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Oxford,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Pittsboro,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Salisbury,1,1,1,0.00%,3,0:01:14,0.00%,0,$0.00 
Timberlake,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Warrenton,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Wendell,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Omaha,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Mount Vernon,1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Newburgh,1,0,2,50.00%,1.5,0:00:11,0.00%,0,$0.00 
Columbus,1,1,2,0.00%,3,0:03:14,0.00%,0,$0.00 
Philadelphia,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Pittsburgh,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Andrews,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Blythewood,1,0,1,0.00%,2,0:01:03,0.00%,0,$0.00 
Columbia,1,0,1,0.00%,3,0:00:38,0.00%,0,$0.00 
Gainesville,1,0,1,0.00%,5,0:01:53,0.00%,0,$0.00 
Hampton,1,0,2,50.00%,1.5,0:01:07,0.00%,0,$0.00 
Virginia Beach,1,0,1,0.00%,2,0:07:45,0.00%,0,$0.00 
Roodepoort,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Lusaka,1,0,2,0.00%,2.5,0:09:13,0.00%,0,$0.00 
Friendly,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 
Panthersville,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Port Wentworth,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
West Springfield,1,0,1,0.00%,5,0:07:18,0.00%,0,$0.00 
,364,159,483,51.76%,2.16,0:03:10,0.00%,0,$0.00 
